team_id,team_title,team_country_id,team_country_name,team_noc,result_id,position,total_time,start_num,prog_id,event_id,event_title,team_order,athlete_id,athlete_title,athlete_gender
126785,Team I United States,293,United States,USA,1063407,3,01:27:44,3,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,4,83096,Summer Rappaport,female
126782,Team I New Zealand,232,New Zealand,NZL,1063408,4,01:27:53,4,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,1,104034,Hayden Wilde,male
126782,Team I New Zealand,232,New Zealand,NZL,1063408,4,01:27:53,4,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,2,92305,Ainsley Thorpe,female
126782,Team I New Zealand,232,New Zealand,NZL,1063408,4,01:27:53,4,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,3,54985,Tayler Reid,male
126782,Team I New Zealand,232,New Zealand,NZL,1063408,4,01:27:53,4,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,4,64750,Nicole Van Der Kaay,female
126773,Team I Canada,135,Canada,CAN,1063409,5,01:29:06,11,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,1,49411,Tyler Mislawchuk,male
126773,Team I Canada,135,Canada,CAN,1063409,5,01:29:06,11,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,2,69055,Emy Legault,female
126773,Team I Canada,135,Canada,CAN,1063409,5,01:29:06,11,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,3,79706,Charles Paquet,male
126773,Team I Canada,135,Canada,CAN,1063409,5,01:29:06,11,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,4,39381,Dominika Jamnicky,female
126783,Team I Switzerland,276,Switzerland,SUI,1063410,6,01:29:11,8,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,1,58385,Sylvain Fridelance,male
126783,Team I Switzerland,276,Switzerland,SUI,1063410,6,01:29:11,8,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,2,115148,Cathia Schär,female
126783,Team I Switzerland,276,Switzerland,SUI,1063410,6,01:29:11,8,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,3,106414,Sasha Caterina,male
126783,Team I Switzerland,276,Switzerland,SUI,1063410,6,01:29:11,8,547005,159913,2022 World Triathlon Sprint and Relay Championships Montreal,4,115147,Nora Gmür,female
