Rank,Name,Gender,YOB,Country,IOQR,MOQR,2022 World Triathlon Championship Series Hamburg,2022 World Triathlon Championship Series Leeds,2022 World Triathlon Sprint and Relay Championships Montreal,2023 Americas Triathlon Cup and South American Championships Lima,2023 World Triathlon Championship Series Sunderland,2023 World Triathlon Mixed Relay Series Paris,2023 World Triathlon Sprint and Relay Championships Hamburg,2024 World Triathlon Mixed Relay Olympic Qualification Event Huatulco
244,Lorcan Redmond,Men,2000,AUS,179.79,0,,,,,,,,
245,Nicolas Probert Vargas,Men,2003,MEX,176.71,541.7496641,,,,,,,,541.7496641
246,Reese Vannerson,Men,2005,USA,171.97,0,,,,,,,,
247,Marcin Stanglewicz,Men,2002,POL,170.22,0,,,,,,,,
248,Luciano Taccone,Men,1989,ARG,169.86,0,,,,,,,,
249,Jose Ignacio Galvez Ponce,Men,2001,ESP,169.35,0,,,,,,,,
250,Baptiste Passemard,Men,2001,FRA,167.86,0,,,,,,,,
251,Josiah Ney,Men,2000,CAN,166.01,0,,,,,,,,
252,Gus Marfell,Men,2003,NZL,164.67,0,,,,,,,,
253,Rory Thornhill,Men,2002,AUS,164.48,0,,,,,,,,
254,Chris Ziehmer,Men,2000,GER,162.06,0,,,,,,,,
255,Monty Dixon,Men,2003,AUS,158.99,0,,,,,,,,
256,Daryn Konysbayev,Men,1999,KAZ,158.24,0,,,,,,,,
256,Mitsuho Mochizuki,Men,2000,JPN,158.24,0,,,,,,,,
258,Valdemar Solok,Men,2001,DEN,157.61,265.7109527,,,,,,,265.7109527,
259,Toby Powers,Men,2003,AUS,156.79,0,,,,,,,,
260,Igor Bellido Mikhailova,Men,2002,ESP,153.04,458.5823414,458.5823414,,,,,,,
261,Chi Zhang,Men,2000,CHN,150.68,0,,,,,,,,
262,Fernando Jacome,Men,2002,CHI,148.54,0,,,,0,,,,
263,Sangmin Park,Men,2000,KOR,146.38,0,,,,,,,,
264,Thomas Bishop,Men,1991,GBR,145.11,925,,925,,,,,,
265,Sam Parry,Men,2003,NZL,144.41,0,,,,,,,,
266,Roee Zoarets,Men,1994,ISR,143.33,0,,,,,,,,
267,Ibrahim Alucin,Men,1998,ARG,142.91,0,,,,0,,,,
268,Meirlan Iskakov,Men,1997,KAZ,135.4,0,,,,,,,,
269,Michael Arishita,Men,1994,USA,131.87,0,,,,,,,,
270,Eduardo Nuñez Gomez,Men,2002,MEX,129.86,0,0,,,,,,,
271,Sébastien Pascal,Men,1996,ROU,125.9,0,,,,,,,,
272,Tik Long Hung,Men,2001,HKG,125.24,0,,,,,,,,
273,Kyle Smith,Men,1997,NZL,125.14,0,,,,,,,,
274,Thomas Feldmann,Men,2004,AUS,124.09,0,,,,,,,,
275,Federico Scarabino,Men,1996,URU,121.03,0,,,,,,,,
276,Jordan Rieck,Men,2003,AUS,114.79,0,,,,,,,,
277,Christopher Perham,Men,1995,GBR,105.15,0,,,,,,,,
278,Jonas Osterholt,Men,2000,GER,103.63,0,,,,,,,,
279,Fernando José Casares Tan,Men,1996,PHI,99.12,0,,,,,,,,
280,Victor Goené,Men,1999,NED,96.3,0,,,,,,,,
281,Yael Vladimir González Melendez,Men,2003,MEX,94.2,541.7496641,,,,,,,,541.7496641
282,David Mendoza,Men,1992,MEX,89.97,0,0,,,,,,,
283,Jimmy Lund,Men,1999,GBR,85.26,0,,,,,,,,
284,Alexis Lherieau,Men,2000,SUI,84.98,0,,,,,,,,
285,Jack Staples,Men,2002,NZL,84.03,0,,,,,,,,
286,Jorik Van Egdom,Men,1995,NED,83.22,0,0,,,,,,,
287,Tak Long Yip,Men,2004,HKG,78.45,0,,,,,,,,
288,Adrian Martinez Bayan,Men,2002,ESP,76.27,0,,,,,,,,
289,Ian Pennekamp,Men,2001,NED,72.95,0,,,,,,,,
290,Grayson Westgate,Men,2003,NZL,71.9,0,,,,,,,,
290,Alex Brackenbury,Men,2003,NZL,71.9,0,,,,,,,,
292,Marcus Dey,Men,2001,GBR,71.21,0,,,,,,,,
293,Austin Hindman,Men,1998,USA,69.28,0,,,,,,,,
294,Diego Alfredo Perez Flores,Men,1995,MEX,66.97,0,,,,,,,,
295,Cheung Sing Nicholas Tsang,Men,2000,HKG,63.22,0,,,,,,,,
296,Samuele Angelini,Men,1999,ITA,62.3,0,,,,,,,,
297,Luke Scott,Men,2001,NZL,61.52,0,,,,,,,,
298,Jørgen Gundersen,Men,1995,NOR,60.41,0,,,,,,,,
299,Aaron Royle,Men,1990,AUS,57.25,0,,,,,,,,
300,Andree Buc,Men,2004,CHI,56.46,0,,,,,,,,
301,Filip Michalek,Men,2001,CZE,56.36,0,,,,,,,0,
302,Joao Mansos,Men,1994,POR,55.54,0,,,,,,,,
303,Benjamin Airey,Men,2005,NZL,53.93,0,,,,,,,,
304,Yago Alves,Men,1998,BRA,52.75,0,,,,,,,,
305,Vicente Trewhela,Men,1995,CHI,52.56,0,,,,,,,,
306,Sasha Caterina,Men,2000,SUI,50.72,677.1870801,,,677.1870801,,,,,
307,Baptiste Massot,Men,2001,FRA,49.4,0,,,,,,,,
307,Ryan Fisher,Men,1991,AUS,49.4,0,,,,,,,,
309,Thomas Sonnery-Cottet,Men,1998,USA,48.87,0,,,,,,,,
310,Alexandre Leblanc,Men,2003,CAN,48.79,0,,,,,,,,
311,Jesús Jimenez Gimeno,Men,2001,ESP,48.43,0,,,,,,,,
312,Ognjen Stojanovic,Men,1990,SRB,46.74,0,,,,,,,,
313,Jack Woodberry,Men,2008,AUS,46.14,0,,,,,,,,
314,Davis Bove,Men,2000,USA,45.49,0,,,,,,,,
315,Matheus Oliveira Martinhaki,Men,2002,BRA,45.13,0,,,,,,,,
316,Zhengyu Duan,Men,1996,CHN,44.6,0,,,,,,,,
317,Gültigin Er,Men,1997,TUR,43.44,0,,,,,,,,
318,Reece Harris,Men,2000,AUS,42.68,0,,,,,,,,
319,Thomas Guilmot,Men,2000,BEL,42.27,0,,,,,,,,
320,Artjoms Gajevskis,Men,2000,LAT,41.26,0,,,,,,,,
321,Qing Chen,Men,1999,CHN,33.45,0,,,,,,,,
321,Brian Moya,Men,1993,COL,33.45,0,,,,,,,,
323,Matthew Roberts,Men,1996,AUS,33.11,0,,,,,,,,
324,Pelayo González Turrez,Men,2004,ESP,30.94,633.1625,,,,,,,,633.1625
324,James Chantler-Mayne,Men,2000,GBR,30.94,0,,,,,,,,
326,Griff Morgan,Men,1998,USA,30.56,0,,,,,,,,
327,Andres Hilario Morales,Men,1999,ESP,30.2,0,,,,,,,,
328,Johannes Sikk,Men,1999,EST,29.77,0,,,,,,,,
329,Ji Hwan Kim,Men,1990,KOR,27.19,0,,,,,,,,
330,Kamil Kulik,Men,2003,POL,26.82,0,,,,,,,,
331,Ben Fäh,Men,2002,SUI,26.43,0,,,,,,,,
332,Solen Wood,Men,2001,CAN,26.15,0,,,,,,,,
333,Thomas Castañeda Maldonado,Men,2004,ARG,25.47,427.8125,,,,427.8125,,,,
334,Uzziel Valderrabano Chavez,Men,2002,MEX,24.49,0,,,,,,,,
334,Jorre Van De Weyer,Men,2001,BEL,24.49,0,,,,,,,,
336,Oscar Gladney Rundqvist,Men,2000,DEN,23.56,1746.872526,,392.3745159,626.3980491,,392.3745159,335.7254452,,
337,Peter Rojtas,Men,2002,SVK,20.95,0,,,,,,,,
337,Andrew Shellenberger,Men,2002,USA,20.95,0,,,,,,,,
339,Benedikt Bettin,Men,2001,GER,19.38,0,,,,,,,,
340,Tsz To Wong,Men,1998,HKG,19.35,0,,,,,,,,
341,Ander Noain Lacamara,Men,1999,ESP,18.92,0,,,,,,,,
342,Zalán Hóbor,Men,2004,HUN,16.58,0,,,,,,,,
343,Xunyu Bai,Men,1994,CHN,16.19,0,,,,,,,,
344,Tomas Kriz,Men,2000,CZE,15.95,0,,,,,,,,
345,Jaehyeon Jo,Men,1999,KOR,14.97,0,,,,,,,,
346,Peter Luftensteiner,Men,1999,AUT,14.19,0,,,,,,,,
347,Ábel Sinkó-Uribe,Men,2001,HUN,14.16,0,,,,,,,,
348,Artūrs Liepa,Men,2003,LAT,13.65,0,,,,,,,,
349,Jeisson Leonardo Fierro Calderon,Men,2001,COL,13.13,0,,,,,,,,
350,Oleksii Astafiev Kulish,Men,1999,UKR,13.1,0,,,,,,,,
351,Ryan Lund,Men,1998,USA,12.14,0,,,,,,,,
352,Ryoya Tamazaki,Men,1998,JPN,11.85,0,,,,,,,,
353,Luke McCarron,Men,1998,IRL,10.8,0,,,,,,,,
354,Justus Nieschlag,Men,1992,GER,10.39,0,,,,,,,,
354,Pavlos Antoniades,Men,2000,CAN,10.39,0,,,,,,,,
354,Jan Bader,Men,2002,AUT,10.39,0,,,,,,,,
357,Marc Dubrick,Men,1994,USA,8.22,0,,,,,,,,
358,Ricardo Morales Vásquez,Men,2000,MEX,7.61,0,,,,,,,,
359,Valentino Agnelli,Men,2003,ARG,7.03,0,,,,,,,,
359,Delian Stateff,Men,1994,ITA,7.03,0,,,,,,,,
1,Beth Potter,Women,1991,GBR,9435.08,2212.946427,,,,,925,925,362.9464272,
2,Cassandre Beaugrand,Women,1997,FRA,9077.1045,2791.453125,,,1000,,1000,791.453125,,
3,Emma Lombardi,Women,2001,FRA,8057.6795,3417.851174,626.3980491,,1000,,1000,791.453125,,
4,Taylor Spivey,Women,1991,USA,7814.39,3111.376302,392.3745159,535.9618307,855.625,,,535.9618307,791.453125,
